Model,Size,Design,Hand ,Price ,Weight ,Wire ,Grip_Style
Cooler Master MM520,M,Ergonomic,Right,49,102,Wire,Claw
Cooler Master MM710,S,Ambidextrous,Ambidextrous,51,54,Wire,Claw
Cooler Master MM720,S,Ergonomic,Right,53,50,Wire,Palm
Corsair Glaive,L,Ergonomic,Right,69,122,Wire,Palm
Corsair M65 RGB Elite,M,Ergonomic,Right,59,96,Wire,Palm
Dream Machines DM1 FPS,L,Ergonomic,Right,47,83,Wire,Palm
Endgame Gear XM1,M,Ambidextrous,Ambidextrous,69,82,Wire,Claw
Finalmouse Scream One,L,Ambidextrous,Ambidextrous,79,85,Wire,Palm
Finalmouse Starlight-12 M,M,Ambidextrous,Ambidextrous ,189,46,Wireless,Claw 
Finalmouse Starlight-12 S,XS,Ambidextrous,Ambidextrous ,189,41,Wireless,Fingertip
Finalmouse Ultralight 2,XS,Ambidextrous,Ambidextrous ,120,50,Wire,Fingertip
Finalmouse Ultralight Phantom,L,Ambidextrous,Ambidextrous ,90,67,Wire,Palm
Finalmouse Ultralight Pro,L,Ambidextrous,Ambidextrous ,69,71,Wire,Palm
G-Wolves HT-S Wireless,S,Ambidextrous,Ambidextrous ,119,60,Wireless,Claw
G-Wolves Hati M Classic,M,Ambidextrous,Ambidextrous ,64,62,Wired,Palm
G-Wolves Hati S Ace,S,Ambidextrous,Ambidextrous ,82,51,Wired,Fingertip
Glorious Model D,L,Ergonomic,Right,49,69,Wired,Palm
Glorious Model D-,M,Ergonomic,Right,49,62,Wired,Claw
Glorious Model I,L,Ergonomic,Right,59,69,Wired,Palm
Glorious Model O,M,Ambidextrous,Ambidextrous ,49,68,Wired,Claw
Glorious Model O Wireless,M,Ambidextrous,Ambidextrous,79,69,Wireless,Claw
Glorious Model O-,XS,Ambidextrous,Ambidextrous,49,58,Wired,Claw
Hyperx Pulsefire Core,M,Ambidextrous,Ambidextrous,29,87,Wired,Palm
Hyperx Pulsefire Haste,M,Ambidextrous,Ambidextrous,49,59,Wired,Claw
Hyperx Pulsefire Surge,M,Ambidextrous,Ambidextrous,54,104,Wired,Palm
Logitech G Pro,S,Ambidextrous,Ambidextrous,69,85,Wired,Claw
Logitech G Pro Wireless,M,Ambidextrous,Ambidextrous,129,80,Wireless,Claw
Logitech G Pro X Superlight,M,Ambidextrous,Ambidextrous,159,63,Wireless,Claw
Logitech G102,S,Ambidextrous,Ambidextrous,26,85,Wired,Palm
Logitech G203,S,Ambidextrous,Ambidextrous,39,85,Wired,Claw
Logitech G303,S,Ambidextrous,Ambidextrous,129,75,Wireless,Claw
Logitech G304,S,Ambidextrous,Ambidextrous,48,99,Wireless,Palm
Logitech G305,S,Ambidextrous,Ambidextrous,49,99,Wireless,Palm
Logitech G403 Wireless,L,Ergonomic,Right,86,87,Wireless,Palm
Logitech G403,L,Ergonomic,Right,71,87,Wired,Palm
Logitech G502,L,Ergonomic,Right,82,121,Wired,Fingertip
Logitech G604,L,Ergonomic,Right,99,135,Wireless,Palm
Logitech G703,L,Ambidextrous,Ambidextrous,89,107,Wireless,Claw
Logitech G900,L,Ambidextrous,Ambidextrous,136,107,Wireless,Claw
Logitech G903,L,Ambidextrous,Ambidextrous,163,110,Wireless,Palm
Microsoft Pro Intellimouse,XL,Ergonomic,Right,51,109,Wired,Palm
Mountain Makalu 67,L,Ergonomic,Right,60,67,Wired,Palm
Nixeus Revel,M,Ambidextrous,Ambidextrous,21,85,Wired,Palm
Razer Basilisk Ultimate,M,Ergonomic,Right,102,107,Wireless,Palm
Razer Basilisk V2,L,Ergonomic,Right,48,92,Wired,Palm
Razer Basilisk X HyperSpeed,L,Ergonomic,Right,48,83,Wireless,Palm
Razer DeathAdder Elite,L,Ergonomic,Right,30,105,Wired,Palm
Razer DeathAdder V2,XL,Ergonomic,Right,70,82,Wired,Palm
Razer DeathAdder V2 Mini,S,Ergonomic,Right,50,62,Wired,Claw
Razer DeathAdder V2 Pro,XL,Ergonomic,Right,70,88,Wireless,Palm
Razer Mamba Elite,XL,Ergonomic,Right,46,96,Wired,Claw
